"date","","2023-06-30_FY","2022-06-30_FY","2021-06-30_FY","2020-06-30_FY","2019-06-30_FY"
,"","","","","",""
"CashProvidedByOperatingActivites","",,,,,
,"netIncome",72361000000,72738000000,61271000000,44281000000,39240000000
,"depreciationAndAmortization",13861000000,14460000000,11686000000,12796000000,11682000000
,"deferredIncomeTax",-6059000000,-5702000000,-150000000,-3620000000,-3534000000
,"stockBasedCompensation",9611000000,7502000000,6118000000,5289000000,4652000000
,"changeInWorkingCapital",-2388000000,446000000,-936000000,2148000000,937000000
,"accountsReceivables",-4087000000,-6834000000,-6481000000,-2577000000,-2812000000
,"inventory",1242000000,-1123000000,-737000000,168000000,597000000
,"accountsPayables",-2721000000,2943000000,2798000000,3018000000,232000000
,"otherWorkingCapital",3178000000,5460000000,3484000000,1539000000,2920000000
,"otherNonCashItems",196000000,-409000000,-1249000000,-219000000,-792000000
,"netCashProvidedByOperatingActivites",87582000000,89035000000,76740000000,60675000000,52185000000
,"","","","","",""
"CashProvidedByInvestingActivites","",,,,,
,"investmentsInPropertyPlantAndEquipment",-28107000000,-23886000000,-20622000000,-15441000000,-13925000000
,"acquisitionsNet",-1670000000,-22038000000,-8909000000,-2521000000,-2388000000
,"purchasesOfInvestments",-37651000000,-26456000000,-62924000000,-77190000000,-57697000000
,"salesMaturitiesOfInvestments",47864000000,44894000000,65800000000,84170000000,58237000000
,"otherInvestingActivites",-3116000000,-2825000000,-922000000,-1241000000,0
,"netCashUsedForInvestingActivites",-22680000000,-30311000000,-27577000000,-12223000000,-15773000000
,"","","","","",""
"CashProvidedByFinancingingActivites","",,,,,
,"debtRepayment",-2750000000,-9023000000,-3750000000,-5518000000,-4000000000
,"commonStockIssued",1866000000,1841000000,1693000000,1343000000,1142000000
,"commonStockRepurchased",-22245000000,-32696000000,-27385000000,-22968000000,-19543000000
,"dividendsPaid",-19800000000,-18135000000,-16521000000,-15137000000,-13811000000
,"otherFinancingActivites",-1006000000,-863000000,-2523000000,-3751000000,-675000000
,"netCashUsedProvidedByFinancingActivities",-43935000000,-58876000000,-48486000000,-46031000000,-36887000000
,"","","","","",""
"Other","",,,,,
,"effectOfForexChangesOnCash",-194000000,-141000000,-29000000,-201000000,-115000000
,"","","","","",""
"Cash&CashFlow","",,,,,
,"netChangeInCash",20773000000,-293000000,648000000,2220000000,-590000000
,"cashAtEndOfPeriod",34704000000,13931000000,14224000000,13576000000,11356000000
,"cashAtBeginningOfPeriod",13931000000,14224000000,13576000000,11356000000,11946000000
,"operatingCashFlow",87582000000,89035000000,76740000000,60675000000,52185000000
,"capitalExpenditure",-28107000000,-23886000000,-20622000000,-15441000000,-13925000000
,"freeCashFlow",59475000000,65149000000,56118000000,45234000000,38260000000